Title,Authors,Date Read,Rating,Review,Format,Contributors,ISBN/UID,Read Status,Date Added,Last Date Read,Read Count
Five Feet Apart,Rachael Lippincott,2019/03/01,9,,hardcover,"Mikki Daughtry (Contributor), Tobias Iaconis (Contributor)",9781534437333,read,2023/03/28,2019/03/01,1
The Roommate,Rosie Danan,2021/10/24,6,,digital,,9780593101612,read,2023/03/28,2021/10/24,1
We Met in December,Rosie Curtis,2021/11/14,8,,digital,,9780062964571,read,2023/04/07,2021/11/14,1
The Kiss Quotient,Helen Hoang,2021/11/16,5,,digital,,9781760636227,read,2023/03/28,2021/11/16,1
Love & Gelato,Jenna Evans Welch,2021/11/18,9,,paperback,,9781481432559,read,2023/03/28,2021/11/18,1
Don't You Forget About Me,Mhairi McFarlane,2021/11/25,8,,digital,,9780062958471,read,2023/03/28,2021/11/25,1
The Hating Game,Sally Thorne,2021/11/26,9,,digital,,B01DT7MSLO,read,2023/03/28,2021/11/26,1
It Ends with Us,Colleen Hoover,2021/11/28,10,"Reflection: it was a story about abuse and like all the emotions on the page merited a trigger warning…i think i’m reacting correctly by feeling overwhelmed with what i’ve just read. you know the idea of “why doesn’t the woman just leave” this book shows it all. we see the characters fall in love and it’s beautiful to see and then the first abusives incident happen and the guys is all apologetic “it was an accident” “it will never happen” and the limit is stretched farther and it happens again. the book shows all the inner turmoil of this woman. she hates this man, but she loves this man. and she has all these feelings about him and herself and they all over whelm her especially with reference to her parents who were also in an abusive relationship. All that to say i was not ready for what i just read, but i’m glad i read it. i thought the author did a phenomenal job getting the reader to see inside the mc head. i felt like i could sympathize despite never having an experience like that",digital,,9781471156274,read,2023/03/28,2021/11/28,1
The Love Hypothesis,Ali Hazelwood,2021/11/29,10,my thoughts: the reason i LOVE this book is the way that i felt when reading it. it felt magical. the perfect balance of hardship and love. plus i LOVE the characters,digital,,9780593336830,read,2023/03/28,2021/11/29,1
It Happened One Summer,Tessa Bailey,2021/11/30,8,,digital,,9780063045668,read,2023/03/28,2021/11/30,1
You Deserve Each Other,Sarah Hogle,2021/12/07,4,"my thoughts: kinda got weird/mushy at the end and lasted a bit too long, overall not bad; i think they needed to hit the topic of second chances a bit more, but it was a sweet rom com read. there was a weird imbalance with the job status between the couple. i think that the romance failed to peek through at a moderate pace and ended up just gushing at the end in a way that is similar to seeing a couple smother each other in public, not very comfy",paperback,,9780593085424,read,2023/03/28,2021/12/07,1
The Upside of Falling,Alex Light,2021/12/23,9,reflection: Ahh i loved how this book incorporates feelings even if it’s not realistic for everyone. I appreciated seeing the growth of the characters from their interactions and i liked being their heads. there wasn’t any spice so i can safely recommend to others haha!! a wonderful feel good book!,digital,,9780062918079,read,2023/03/28,2021/12/23,1
The Unhoneymooners,Christina Lauren,2021/12/23,9,reflection: i really enjoyed the writing in this book. i liked that there were several themes that were prominent and reoccurring. i’m always a sucker for a happy ending so the adorable proposal at the end was lovely. would recommend to rom com lovers,digital,,B07MGS7HF1,read,2023/03/28,2021/12/23,1
Beach Read,Emily Henry,2021/12/26,9,reflection: Augustus Everett is my newest fictional crush to add with all the others. I loved seeing the brokenness of the characters and the perseverance that it took to allow them to be vulnerable. I felt like that was what the story was really about. The love story was an added bonus. all in all would recommend!!,digital,,B07XNKRV83,read,2023/03/28,2021/12/26,1
In a Holidaze,Christina Lauren,2021/12/28,5,my thoughts: my only problem with this book is that the love interest wasn’t fully clear. i felt like if it were either brother she ended up with there would be forced feelings. overall it was definitely a cute rom com for the holidays. ,digital,,9781982123956,read,2023/03/28,2021/12/28,1
People We Meet on Vacation,Emily Henry,2021/12/29,7,"my thoughts: i really liked the formatting of this book. the prologue unknowingly introduces us to an important scene, and the chapters go back and forth between past and present in a way that’s very easy to follow. i love that there was a crossover from The Beach Read (same author)!! i was so excited that i immediately texted my friend lol. the main thing that i found frustrating was that the characters gave up so easily, like the big event that is mentioned isn’t that big/the fallout didn’t seem very logical. the ending was kind of confusing bc it happens very quickly in comparison to the pace of the rest of the book, and my heart stopped right before the last chapter. overall, i still really liked the book mainly because of the feeling i got and the fact that i kept thinking about it even though i had finished it. (i was trying to figure out why i didn’t feel fully satisfied, and i still don’t know lol. i’m thinking it was the fast ending)",digital,,B08FZNYQJC,read,2023/03/28,2021/12/29,1
